@relation music_classification

@attribute 'acousticness' numeric
@attribute 'danceability' numeric
@attribute 'duration_ms' numeric
@attribute 'energy' numeric
@attribute 'instrumentalness' numeric
@attribute 'key' numeric
@attribute 'liveness' numeric
@attribute 'loudness' numeric
@attribute 'mode' numeric
@attribute 'speechiness' numeric
@attribute 'tempo' numeric
@attribute 'time_signature' numeric
@attribute 'valence' numeric
@attribute 'class' {hip-hop/rap, pop, dance}

@data

0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4.0,0.286,hip-hop/rap
0.199,0.743,326933,0.359,0.00611,1,0.137,-10.401,1,0.0794,160.083,4.0,0.588,hip-hop/rap
0.0344,0.838,185707,0.412,0.000234,2,0.159,-7.148,1,0.289,75.044,4.0,0.173,hip-hop/rap
0.18,0.678,392893,0.561,0.512,5,0.439,-11.648,0,0.0694,174.004,4.0,0.904,dance
0.0145,0.739,241400,0.472,7.27e-06,1,0.207,-11.204,1,0.156,80.03,4.0,0.308,hip-hop/rap
0.0481,0.603,202853,0.944,0.0,11,0.342,-3.626,0,0.347,130.035,4.0,0.398,hip-hop/rap
0.0572,0.525,358187,0.855,0.0143,5,0.649,-7.372,0,0.0548,111.951,3.0,0.524,dance
0.366,0.762,243270,0.476,0.0,0,0.103,-12.686,1,0.114,130.007,4.0,0.367,hip-hop/rap
0.44,0.662,247288,0.603,0.0,9,0.0972,-8.317,0,0.0793,125.011,4.0,0.351,hip-hop/rap
0.019,0.637,188333,0.832,0.0563,6,0.316,-6.637,1,0.163,99.988,4.0,0.317,dance
0.118,0.854,287086,0.401,0.0,9,0.527,-8.553,1,0.395,139.922,4.0,0.441,hip-hop/rap
0.00219,0.781,205160,0.795,0.269,7,0.0673,-6.758,1,0.036,109.977,4.0,0.795,dance
0.018,0.646,188333,0.837,0.0403,6,0.316,-6.615,1,0.134,100.04,4.0,0.32,dance
0.0516,0.782,228562,0.572,0.0,4,0.33,-7.467,0,0.0385,120.021,4.0,0.237,hip-hop/rap
0.0358,0.959,213000,0.598,0.0,8,0.358,-5.534,1,0.0713,127.029,4.0,0.424,hip-hop/rap
0.0324,0.742,280831,0.559,0.0,5,0.0987,-5.876,1,0.141,146.923,4.0,0.429,hip-hop/rap
0.118,0.805,232880,0.687,0.0,9,0.0842,-7.771,1,0.0458,119.999,4.0,0.683,dance
0.0428,0.667,230693,0.581,0.0,0,0.183,-5.164,0,0.323,110.953,4.0,0.372,hip-hop/rap
0.0565,0.853,205879,0.547,0.0,1,0.341,-7.535,1,0.194,142.065,4.0,0.677,hip-hop/rap
0.135,0.777,237187,0.591,5.5e-05,1,0.126,-7.431,0,0.0327,124.111,4.0,0.848,pop
0.00356,0.76,186122,0.402,0.0,8,0.333,-8.751,1,0.164,147.028,4.0,0.069,hip-hop/rap
0.00156,0.624,183000,0.792,1.54e-06,10,0.0772,-5.33,0,0.0473,139.94,4.0,0.318,hip-hop/rap
0.00243,0.621,378893,0.683,0.00856,11,0.525,-5.619,0,0.242,124.283,5.0,0.0891,hip-hop/rap
0.533,0.64,234526,0.819,0.0,7,0.156,-4.108,1,0.455,166.012,4.0,0.624,hip-hop/rap
0.0185,0.74,241341,0.846,0.0624,2,0.254,-6.039,1,0.0808,95.995,4.0,0.852,dance
0.0638,0.7,224480,0.84,0.112,7,0.141,-6.227,0,0.0292,132.475,4.0,0.745,dance
0.128,0.313,286960,0.77,0.0787,7,0.0873,-7.265,1,0.0335,74.749,4.0,0.186,pop
